,Name,Subs,Identifier,Type,Full_identifier,Nr_featured,Featured
2512,Life Kommando,25800,LifeKommando,user,/user/LifeKommando,3,"['/channel/UC-DhcadsG-X9iUXta0rCDNA', '/user/LifeKommando', '/channel/UCYLVdirPWr2C47oPHPFF4kw']"
2513,Total Kommando,1250,UCYLVdirPWr2C47oPHPFF4kw,channel,/channel/UCYLVdirPWr2C47oPHPFF4kw,2,"['/channel/UC-DhcadsG-X9iUXta0rCDNA', '/user/LifeKommando']"
2514,Magic Leap,41800,UC2E1x3l45YUO2eOhRv-A7lw,channel,/channel/UC2E1x3l45YUO2eOhRv-A7lw,0,[]
2515,Simon Sinek,1410000,SimonSinek,user,/user/SimonSinek,12,"['/channel/UC5Up17aqP9loKImEWjJgOCA', '/user/92ndStreetY', '/user/TEDtalksDirector', '/user/capitalchoir', '/user/LondonRealTV', '/user/lewishowes', '/user/Americanvogue', '/user/corycotton', '/user/MrBeast6000', '/user/ArcherSchoolforGirls', '/user/GaryVaynerchuk', '/channel/UCfp0Do3fao1hBpJ0c_HdJRw']"
2516,Peter Docker,290,UC5Up17aqP9loKImEWjJgOCA,channel,/channel/UC5Up17aqP9loKImEWjJgOCA,0,[]
2517,92nd Street Y,227000,92ndStreetY,user,/user/92ndStreetY,0,[]
2518,capitalchoir,25000,capitalchoir,user,/user/capitalchoir,0,[]
2519,London Real,2049999,LondonRealTV,user,/user/LondonRealTV,0,[]
2520,Lewis Howes,1880000,lewishowes,user,/user/lewishowes,0,[]
2521,Vogue,10900000,Americanvogue,user,/user/Americanvogue,2,"['/user/ArchitecturalDigest', '/user/lisaeldridgedotcom']"
2522,Dude Perfect,56900000,corycotton,user,/user/corycotton,0,[]
2523,MrBeast,85400000,MrBeast6000,user,/user/MrBeast6000,0,[]
2524,The Archer School for Girls,408,ArcherSchoolforGirls,user,/user/ArcherSchoolforGirls,1,['/user/TEDtalksDirector']
2525,GaryVee,3500000,GaryVaynerchuk,user,/user/GaryVaynerchuk,1,['/channel/UCGg-UqjRgzhYDPJMr-9HXCg']
2526,Maria Shriver,15300,UCfp0Do3fao1hBpJ0c_HdJRw,channel,/channel/UCfp0Do3fao1hBpJ0c_HdJRw,0,[]
2527,Afiniti,3450,UCRf3rRzpuMO1qBN3i3b2UTg,channel,/channel/UCRf3rRzpuMO1qBN3i3b2UTg,0,[]
2528,Microsoft HoloLens,132000,UCT2rZIAL-zNqeK1OmLLUa6g,channel,/channel/UCT2rZIAL-zNqeK1OmLLUa6g,10,"['/user/windowsazure', '/user/BingAds', '/user/TeamMojang', '/channel/UC3LL920zxSo16CmmmVCntxw', '/user/MicrosoftResearch', '/user/Microsoft', '/channel/UCJGCg4rB3QSs8y_1FquelBQ', '/channel/UCsMica-v34Irf9KVTh6xx-g', '/user/WindowsVideos', '/user/surface']"
2529,Microsoft Azure,229000,windowsazure,user,/user/windowsazure,3,"['/channel/UCT2rZIAL-zNqeK1OmLLUa6g', '/channel/UCsMica-v34Irf9KVTh6xx-g', '/user/Microsoft']"
2530,Microsoft Advertising,6250,BingAds,user,/user/BingAds,0,[]
2531,Minecraft,8970000,TeamMojang,user,/user/TeamMojang,0,[]
2532,Microsoft Maquette,624,UC3LL920zxSo16CmmmVCntxw,channel,/channel/UC3LL920zxSo16CmmmVCntxw,0,[]
2533,Microsoft Research,239000,MicrosoftResearch,user,/user/MicrosoftResearch,0,[]
2534,Microsoft,804000,Microsoft,user,/user/Microsoft,3,"['/user/WindowsVideos', '/user/surface', '/user/windowsazure']"
2535,Microsoft Dynamics 365,57500,UCJGCg4rB3QSs8y_1FquelBQ,channel,/channel/UCJGCg4rB3QSs8y_1FquelBQ,1,['/user/windowsazure']
2536,Microsoft Developer,337000,UCsMica-v34Irf9KVTh6xx-g,channel,/channel/UCsMica-v34Irf9KVTh6xx-g,1,['/user/windowsazure']
2537,Windows,1060000,WindowsVideos,user,/user/WindowsVideos,0,[]
2538,Microsoft Surface,503000,surface,user,/user/surface,0,[]
2539,The Holo Herald,2590,UCTC0kLfWnQN-zvbKFE96LjA,channel,/channel/UCTC0kLfWnQN-zvbKFE96LjA,1,['/channel/UCTRKC4RJq0dYcX2aPjOOw5w']
2540,Practical,50,UCTRKC4RJq0dYcX2aPjOOw5w,channel,/channel/UCTRKC4RJq0dYcX2aPjOOw5w,0,[]
2541,The Hospitality Coach,-1,UCXtiitRymS-nDPlM9PIDh7g,channel,/channel/UCXtiitRymS-nDPlM9PIDh7g,0,[]
2542,Sean Ong,50500,sfomail,user,/user/sfomail,12,"['/user/StanfordUniversity', '/channel/UC03mQSzHQRKmbYH3ObOCJkA', '/user/SurfacedStudio', '/channel/UC184CthTulORYB8WjPhOkoQ', '/user/AMomentofSciencePBS', '/user/01032010814', '/channel/UC23_LEdKbAtN9h8zHz2Hn5g', '/channel/UC2NizdwIhlV6EZU1rqX6KIg', '/user/engineerguyvideo', '/user/theActionMovieKid', '/channel/UC3FRG2N4RVYDkrwSdgE1hDg', '/channel/UC4B8ywA2Cz_K95w2oeWxizg']"
2543,Stanford,1560000,StanfordUniversity,user,/user/StanfordUniversity,0,[]
2544,James Ware,4460,UC03mQSzHQRKmbYH3ObOCJkA,channel,/channel/UC03mQSzHQRKmbYH3ObOCJkA,0,[]
2545,AppVolks,3,UC184CthTulORYB8WjPhOkoQ,channel,/channel/UC184CthTulORYB8WjPhOkoQ,0,[]
2546,A Moment of Science PBS,5570,AMomentofSciencePBS,user,/user/AMomentofSciencePBS,1,['/user/pbsideachannel']
2547,Connie Ong,7,UC23_LEdKbAtN9h8zHz2Hn5g,channel,/channel/UC23_LEdKbAtN9h8zHz2Hn5g,0,[]
2548,Roarke Software,1,UC2NizdwIhlV6EZU1rqX6KIg,channel,/channel/UC2NizdwIhlV6EZU1rqX6KIg,0,[]
2549,engineerguy,1200000,engineerguyvideo,user,/user/engineerguyvideo,0,[]
2550,Will Olis,1870,UC3FRG2N4RVYDkrwSdgE1hDg,channel,/channel/UC3FRG2N4RVYDkrwSdgE1hDg,0,[]
2551,Sell on Amazon,25900,UC4B8ywA2Cz_K95w2oeWxizg,channel,/channel/UC4B8ywA2Cz_K95w2oeWxizg,0,[]
2552,STORYKIT,968,UCs7f7NzBRscTKz5ULVPgTug,channel,/channel/UCs7f7NzBRscTKz5ULVPgTug,0,[]
2553,Neo4j,32800,UCvze3hU6OZBkB1vkhH2lH9Q,channel,/channel/UCvze3hU6OZBkB1vkhH2lH9Q,0,[]
2554,Reuters,1350000,ReutersVideo,user,/user/ReutersVideo,0,[]
